Name,Latitude,Longitude,Location,Description,Ambience
Amaris Hotel Thamrin City,-6.1948198,106.817504,"Thamrin City Mall, Jl. Thamrin No. 1, Jakarta Pusat",Affordable hotel with comfortable rooms and proximity to shopping areas.,Clean and convenient
The Falatehan Hotel,-6.2431072,106.8013821,"Jl. Falatehan No. 9, Jakarta Selatan",Cozy hotel with well-furnished rooms and a central location.,Friendly and relaxed
Red Planet Jakarta,-6.15999,106.8342355,"Jl. Jaksa No. 136, Jakarta Pusat",Affordable hotel offering a convenient stay with essential amenities.,Simple and straightforward
Hotel 88 Alun-Alun Bandung,-6.9211938,107.6061891,"Jl. Alun-Alun Bandung No. 6, Jakarta Pusat",Well-located hotel providing comfortable rooms and good value for money.,Clean and efficient
Hotel Ciputra Jakarta,-6.1944491,106.8229198,"Jl. Letjen S. Parman No. 28, Jakarta Barat",Comfortable hotel with modern amenities and easy access to public transport.,Modern and accessible
Rumah Sakit Pusat Pertamina,-6.2399349,106.7932011,"Jl. Kyai Maja No. 43, Kebayoran Baru, Jakarta Selatan",Leading hospital with comprehensive medical services and advanced facilities.,Professional and modern
RS Cipto Mangunkusumo,-6.1973909,106.8467739,"Jl. Diponegoro No. 71, Jakarta Pusat",Major general hospital offering specialized medical care and research services.,Clinical and comprehensive
Rumah Sakit Jakarta,-6.2183759,106.8162546,"Jl. Cikini Raya No. 28, Jakarta Pusat",Well-established hospital providing a range of medical services and treatments.,Reliable and professional
RS Pondok Indah,-6.2835829,106.781621,"Jl. Metro Duta No. 1, Pondok Indah, Jakarta Selatan",High-end hospital with specialized departments and advanced medical technology.,Modern and comfortable
RS Harapan Kita,-6.1852308,106.799195,"Jl. Letjen S. Parman No. 84, Jakarta Barat",Major hospital with a wide range of medical services and specialized treatment options.,Modern and efficient
RS Abdi Waluyo,-6.189841,106.8290156,"Jl. Abdul Muis No. 10, Jakarta Pusat",Established hospital offering general and specialized medical services with a patient-centered approach.,Comfortable and reliable
Kopi Kenangan Cikini,-6.1960175,106.8404624,"Jl. Cikini Raya No. 5, Jakarta Pusat",Popular branch offering a cozy atmosphere and signature coffee drinks.,Casual and welcoming
Kopi Kenangan Kemang,-6.2607157,106.8127664,"Jl. Kemang Raya No. 70, Kemang, Jakarta Selatan",Trendy location with a modern design and relaxed seating area.,Modern and comfortable
Kopi Kenangan Pluit,-6.1128512,106.7843739,"Jl. Pluit Selatan Raya No. 21, Jakarta Utara",Convenient spot with a minimalist interior and a focus on quality beverages.,Simple and clean
Kopi Kenangan Senopati,-6.230894,106.8088843,"Jl. Senopati No. 90, Jakarta Selatan",Stylish cafe with contemporary decor and a vibrant atmosphere.,Chic and lively
Kopi Kenangan Cipete,-6.2775912,106.8006103,"Jl. Cipete Raya No. 18, Jakarta Selatan",Friendly coffee shop with a warm ambiance and a range of coffee options.,Friendly and inviting
Kopi Kenangan Plaza Indonesia,-6.1929989,106.8222671,"Plaza Indonesia, Jl. MH Thamrin No. 28-30, Jakarta Pusat","Upscale branch located in a high-end mall, offering a premium coffee experience.",Sophisticated and upscale
Kopi Kenangan Thamrin,-6.1878577,106.8228972,"Jl. Thamrin No. 1, Jakarta Pusat",Convenient location with a modern design and efficient service.,Efficient and contemporary
Kopi Kenangan Taman Anggrek,-6.1785831,106.7922128,"Taman Anggrek Mall, Jl. S. Parman, Jakarta Barat","Popular spot in a major mall, featuring a sleek and inviting design.",Stylish and bustling
Skye Bar & Restaurant,-6.196728,106.822582,"Menara BCA, Jl. M.H. Thamrin No.1, Menteng, Central Jakarta","A rooftop bar and restaurant offering stunning views of the city, international cuisine, and creative cocktails.","Vibrant, Scenic, Stylish"
Ancol Dreamland,-6.1252747,106.8335569,"Jl. Lodan Timur No.7, Pademangan, North Jakarta","A large amusement park with various rides, a water park, and an art market, suitable for families and thrill-seekers.","Fun, Family-friendly, Lively"
Potato Head Jakarta,-6.224618,106.8099103,"Pacific Place Mall, SCBD, Jl. Jend. Sudirman No.52-53, South Jakarta","A trendy restaurant and bar known for its eclectic decor, delicious food, and lively atmosphere.","Trendy, Lively, Hip"
Kemang Icon,-6.2555554,106.8150262,"Jl. Kemang Raya No.1, South Jakarta","A boutique hotel with a rooftop bar and pool, offering a chic and intimate setting for social gatherings.","Chic, Intimate, Stylish"
Setu Babakan,-6.3416667,106.8238889,"Srengseng Sawah, Jagakarsa, South Jakarta","A cultural village showcasing traditional Betawi culture with performances, crafts, and local cuisine.","Cultural, Traditional, Relaxed"
Jaya Pub,-6.18656,106.8221679,"Jl. M.H. Thamrin No.12, Central Jakarta","One of Jakarta's oldest pubs, offering live music and a nostalgic atmosphere.","Nostalgic, Casual, Lively"
The Wave Pondok Indah Water Park,-6.2677295,106.7843933,"Jl. Metro Pondok Indah, South Jakarta","A large water park with various slides, wave pools, and a lazy river, ideal for family outings.","Fun, Family-friendly, Relaxed"
The Awan Lounge,-6.1872171,106.8217655,"Jl. M.H. Thamrin No.6, Central Jakarta","A chic rooftop bar with a garden setting, offering cocktails and light bites with a stunning city view.","Chic, Scenic, Stylish"
Little Tokyo Blok M,-6.2443686,106.7988229,"Jl. Melawai Raya, South Jakarta","An area in Blok M known for its Japanese restaurants, bars, and shops, providing an authentic Tokyo experience.","Authentic, Lively, Cultural"
Three Folks Coffee Lebakbulus,-6.2958109,106.7807861,"Jl. Adhyaksa VII No.38, RT.3/RW.5, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440","Restaurant with rustic, cozy, great for long stay.","rustic, cozy, great for long stay"
Gordi HQ,-6.284245,106.8117769,"6, Jl. Jeruk Purut Dalam No.mor 25, RT.6/RW.3, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560","Restaurant with comfortable, relaxed with a homey feel.","Comfortable, relaxed with a homey feel."
Koltoura Coffee,-6.2355801,106.8110022,"Jl. Ciniru I No.1, Rw. Bar., Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12180","Restaurant with Playful, quirky, with a fun vibe.","playful, quirky, fun"
Senayan National Golf Club,-6.2266758,106.8104633,"Jl. Pintu Satu Senayan, Jakarta Pusat",Prestigious golf club with an 18-hole course and comprehensive facilities.,Elegant and exclusive
Pondok Indah Golf Course,-6.2691368,106.7849619,"Jl. Golf Pondok Indah, Jakarta Selatan",Well-maintained 18-hole course with a focus on providing a high-quality golfing experience.,Tranquil and upscale
Nonna Bona,-6.2296562,106.8068796,"ASHTA District 8, Jl. Senopati No.8 Lantai UG, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 14230",Classic Italian steakhous with great cocktails and outdoor seating.,Cozy and outdoor
Mamma Rosy,-6.2635556,106.8159399,"Jl. Kemang Raya No.58, RT.8/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Casual Italian eatery featuring terrace seating & a bar in a traditional Balinese house.,Casual and family-oriented
